part_id,part_name,quantity,assembly_id
S-1074,Drawer Front,1,A-1062
S-1075,Drawer Bottom,1,A-1062
S-1076,Drawer Sides,2,A-1062
S-1077,Drawer Back,1,A-1062
S-1078,Drawer Rails,2,A-1062
S-1079,Drawer Handle,1,A-1062
S-1080,Screws,8,A-1062
S-1081,Drawer Front,1,A-1070
S-1082,Drawer Bottom,1,A-1070
S-1083,Drawer Sides,2,A-1070
S-1084,Drawer Back,1,A-1070
S-1085,Drawer Rails,2,A-1070
S-1086,Screws,8,A-1070
S-1087,Headboard Panel,1,A-1048
S-1088,Headboard Frame,1,A-1048
S-1089,Decorative Trim,1,A-1048
S-1090,Mounting Brackets,2,A-1048
S-1091,Screws,12,A-1048
S-1092,Seat Base,1,A-1037
S-1093,Foam Padding,1,A-1037
S-1094,Fabric Cover,1,A-1037
S-1095,Mounting Brackets,4,A-1037
S-1096,Screws,8,A-1037
S-1097,Foam Insert,1,A-1010
S-1098,Cushion Cover,1,A-1010
S-1099,Zipper,1,A-1010
S-1100,Batting,1,A-1010
S-1101,Base Frame,1,A-1012
S-1102,Back Frame,1,A-1012
S-1103,Side Frames,2,A-1012
S-1104,Support Slats,12,A-1012
S-1105,Corner Brackets,4,A-1012
S-1106,Screws,32,A-1012
S-1107,Back Panel,1,A-1038
S-1108,Foam Padding,1,A-1038
S-1109,Fabric Cover,1,A-1038
S-1110,Support Frame,1,A-1038
S-1111,Screws,6,A-1038
S-1112,Foam Insert,1,A-1011
S-1113,Cushion Cover,1,A-1011
S-1114,Zipper,1,A-1011
S-1115,Batting,1,A-1011
S-1116,Wood Panel,1,A-1067
S-1117,Edge Banding,1,A-1067
S-1118,Shelf Support Holes,10,A-1067
S-1119,Mounting Brackets,2,A-1067
S-1120,Wood Panels,3,A-1055
S-1121,Edge Banding,1,A-1055
S-1122,Reinforcement Strips,2,A-1055
S-1123,Wood Glue,1,A-1055
S-1124,Wooden Slat,1,A-1051
S-1125,Fabric Sleeve,1,A-1051
S-1126,Cable Tray,1,A-1064
S-1127,Cable Clips,4,A-1064
S-1128,Zip Ties,5,A-1064
S-1129,Adhesive Pads,2,A-1064
S-1130,Shade Frame,1,A-1033
S-1131,Shade Fabric,1,A-1033
S-1132,Diffuser,1,A-1033
S-1133,Mounting Ring,1,A-1033
S-1134,Wooden Slat,1,A-1051
S-1135,Fabric Sleeve,1,A-1051
S-1136,Wooden Slat,1,A-1051
S-1137,Fabric Sleeve,1,A-1051
S-1138,Wooden Slat,1,A-1051
S-1139,Fabric Sleeve,1,A-1051
S-1140,Wooden Slat,1,A-1051
S-1141,Fabric Sleeve,1,A-1051
S-1142,Wooden Slat,1,A-1051
S-1143,Fabric Sleeve,1,A-1051
S-1144,Wooden Slat,1,A-1051
S-1145,Fabric Sleeve,1,A-1051
S-1146,Wooden Slat,1,A-1051
S-1147,Fabric Sleeve,1,A-1051
S-1148,Wooden Slat,1,A-1051
S-1149,Fabric Sleeve,1,A-1051
S-1150,Wooden Slat,1,A-1051
S-1151,Fabric Sleeve,1,A-1051
S-1152,Wooden Slat,1,A-1051
S-1153,Fabric Sleeve,1,A-1051
S-1154,Wooden Slat,1,A-1051
S-1155,Fabric Sleeve,1,A-1051
S-1156,Wooden Slat,1,A-1051
S-1157,Fabric Sleeve,1,A-1051
S-1158,Wooden Slat,1,A-1051
S-1159,Fabric Sleeve,1,A-1051
S-1160,Wooden Slat,1,A-1051
S-1161,Fabric Sleeve,1,A-1051